pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,surface_pressure,datetime,aqi,pm25_log,pm25_lag_1h,pm25_lag_2h,pm25_lag_3h,pm25_lag_6h,pm25_lag_12h,pm25_lag_24h,pm25_lag_48h,pm25_roll_mean_3h,pm25_roll_std_3h,pm25_roll_mean_6h,pm25_roll_std_6h,pm25_roll_mean_12h,pm25_roll_std_12h,pm25_roll_mean_24h,pm25_roll_std_24h,pm10_lag_1h,pm10_lag_6h,nitrogen_dioxide_lag_1h,nitrogen_dioxide_lag_6h,carbon_monoxide_lag_1h,carbon_monoxide_lag_6h,wind_x,wind_y,hour_sin,hour_cos,month_sin,month_cos,stagnation_index,is_weekend,temp_diff_24h,hum_diff_24h
36.2,120.1,443.0,3.6,14.2,198.0,32.9,27.0,7.7,106.0,0.0,950.2,2026-05-08 15:00:00,103,3.616308761279101,3.683866912290392,3.742420221041966,3.8044377947482086,3.770459441106359,3.653252276470785,2.70805020110221,2.8903717578961645,3.68086529820382,0.0631092888268021,3.762457499294241,0.1003701663911993,3.707966273605083,0.1042754268275419,3.51386054234236,0.2975761739343922,130.4,163.4,3.7,8.9,433.0,542.0,-2.1224076397908926,7.401715058725055,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998,0.4156676737102415,0,0.6999999999999957,2.0
34.2,111.8,467.0,4.1,14.1,192.0,32.3,29.0,12.7,125.0,0.0,949.3,2026-05-08 16:00:00,97,3.561046082604052,3.616308761279101,3.683866912290392,3.742420221041966,3.856510295497887,3.653252276470785,2.7013612129514133,2.856470206220483,3.620407252057849,0.0615129032903557,3.713213463811935,0.1162253256591813,3.700282424116189,0.1117995094990371,3.549680745244553,0.2420890558590833,120.1,183.9,3.6,6.2,443.0,500.0,-7.284420741658286,10.403230962470191,-0.8660254037844384,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,0.2599303709929965,0,0.0999999999999943,4.0
52.3,174.6,520.0,9.3,15.8,201.0,33.8,20.0,8.8,152.0,0.0,949.1,2026-05-08 17:00:00,142,3.975936331171799,3.561046082604052,3.616308761279101,3.683866912290392,3.871201010907891,3.701301974112493,3.0007198150650303,2.624668592163159,3.717763725018317,0.2252849569759313,3.7306693505225854,0.1481732929607593,3.723168620537797,0.1372420339531341,3.590314766749002,0.2273354450278945,111.8,181.1,4.1,4.4,467.0,464.0,-7.769938817158558,4.131349752515838,-0.9659258262890684,-0.2588190451025206,0.8660254037844387,-0.4999999999999998,0.4057077888950814,0,0.5,1.0
50.6,166.7,630.0,15.0,15.2,183.0,32.1,27.0,9.4,125.0,0.0,949.2,2026-05-08 18:00:00,138,3.943521672487517,3.975936331171799,3.561046082604052,3.616308761279101,3.8044377947482086,3.66612246699132,3.0106208860477417,2.6878474937846906,3.8268346954211214,0.2307495775766956,3.753849996812471,0.17112387160304,3.7462852209958135,0.1495684130446991,3.629185632850659,0.2022826011131959,174.6,158.3,9.3,3.4,520.0,445.0,-5.391618501699834,7.700029216316522,-1.0,-1.8369701987210287e-16,0.8660254037844387,-0.4999999999999998,0.3791847762007228,0,0.6000000000000014,-3.0
51.6,144.4,770.0,23.0,14.4,157.0,29.6,36.0,7.7,120.0,0.0,949.4,2026-05-08 19:00:00,141,3.962716119743664,3.943521672487517,3.975936331171799,3.561046082604052,3.742420221041966,3.594568774642695,3.1612467120315646,3.0633909220278057,3.960724707800993,0.0162988286557939,3.7905659799294207,0.1906950100022277,3.776964166420894,0.1533290856348617,3.6625801915053295,0.1872722734562361,166.7,142.5,15.0,3.2,630.0,432.0,-3.8499999999999983,6.668395609140179,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.4999999999999998,0.455484611464789,0,0.2000000000000028,7.0
52.6,140.6,871.0,29.4,13.4,134.0,28.0,42.0,6.9,85.0,0.0,949.9,2026-05-08 20:00:00,143,3.981549068076757,3.962716119743664,3.943521672487517,3.975936331171799,3.683866912290392,3.535145354171894,3.246490991901174,3.3978584803966405,3.9625956201026464,0.0190139841682377,3.840179672560481,0.1960324830955664,3.8141644759129663,0.1431401669153832,3.6932076113459793,0.1760346792925446,144.4,130.4,23.0,3.7,770.0,433.0,0.6013746249588412,6.873743416833045,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0.5039935529211084,0,0.8000000000000007,4.0
54.0,143.9,914.0,32.3,12.4,120.0,26.6,45.0,7.3,54.0,0.0,950.7,2026-05-08 21:00:00,147,4.007333185232471,3.981549068076757,3.962716119743664,3.943521672487517,3.616308761279101,3.770459441106359,3.3214324131932926,3.517497837358316,3.983866124350964,0.0223985980709474,3.905350409886043,0.1699896667461606,3.833903954590142,0.1525863204882458,3.721786810180945,0.1685725717640497,140.6,120.1,29.4,3.6,871.0,443.0,4.290832341735054,5.9058240589371165,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.4999999999999998,0.4828112271364422,0,0.8000000000000007,3.0
55.5,144.8,919.0,33.5,11.2,109.0,25.5,47.0,5.8,51.0,0.0,950.9,2026-05-08 22:00:00,151,4.034240638152395,4.007333185232471,3.981549068076757,3.962716119743664,3.561046082604052,3.856510295497887,3.417726683613366,3.747148362237912,4.007707630487207,0.026347780669309,3.9842161691441,0.032344419177666,3.8487148164780174,0.1632343094992602,3.747474891620071,0.1671919163130014,143.9,111.8,32.3,4.1,914.0,467.0,3.650058268089057,4.507446576450431,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.4999999999999998,0.5932706820812347,0,0.5,3.0
58.0,146.7,873.0,35.0,10.1,96.0,25.2,52.0,8.5,52.0,0.0,951.3,2026-05-08 23:00:00,152,4.07753744390572,4.034240638152395,4.007333185232471,3.981549068076757,3.975936331171799,3.871201010907891,3.5145260669691587,3.901972669574645,4.0397037557635285,0.0354195387391262,4.001149687933087,0.0492963437072715,3.865909519227837,0.1761729805993443,3.770933698992428,0.1724996164235922,144.8,174.6,33.5,9.3,919.0,520.0,5.233122540268096,6.698091405657137,-0.2588190451025215,0.965925826289068,0.8660254037844387,-0.4999999999999998,0.4292144677795494,0,0.3999999999999986,3.0
59.6,146.2,737.0,37.8,9.0,78.0,25.2,50.0,8.8,43.0,0.0,951.0,2026-05-09 00:00:00,153,4.104294893075269,4.07753744390572,4.034240638152395,4.007333185232471,3.943521672487517,3.8044377947482086,3.563882963939251,3.835141961092188,4.072024325044461,0.0353510327697255,4.027945224697713,0.0550646673487288,3.890897610755092,0.1875589766547616,3.793450862706429,0.1794292692518149,146.7,166.7,35.0,15.0,873.0,630.0,6.4359125742487,6.001585568549987,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.4188056013342111,1,0.8000000000000007,-1.0
